type,row,column,2_2,2_1,1_1,1_2,row_column
DSS_1,gioco_1,gioco_09,5,3,4,6,
DSS_1,gioco_2,gioco_10,7,5,4,6,
DSS_1,gioco_3,gioco_11,5,7,8,6,
DSS_1,gioco_4,gioco_12,7,9,8,6,
DSS_1,gioco_5,gioco_13,4,6,5,3,
DSS_1,gioco_6,gioco_14,4,6,7,5,
DSS_1,gioco_7,gioco_15,7,5,6,8,
DSS_1,gioco_8,gioco_16,9,7,6,8,
DSO_1,gioco_9,gioco_01,5,3,4,3,
DSO_1,gioco_10,gioco_02,4,6,4,5,
DSO_1,gioco_11,gioco_03,5,6,5,7,
DSO_1,gioco_12,gioco_04,7,6,8,6,
DSO_1,gioco_13,gioco_05,4,3,5,3,
DSO_1,gioco_14,gioco_06,4,5,4,6,
DSO_1,gioco_15,gioco_07,7,5,6,5,
DSO_1,gioco_16,gioco_08,6,8,6,7,
SH,gioco_17,gioco_17,6,1,5,4,
SH,gioco_18,gioco_18,6,5,7,2,
SH,gioco_19,gioco_19,8,3,7,6,
SH,gioco_20,gioco_20,8,7,9,4,
SH,gioco_21,gioco_21,5,4,6,1,
SH,gioco_22,gioco_22,6,5,7,2,
SH,gioco_23,gioco_23,8,3,7,6,
SH,gioco_24,gioco_24,9,4,8,7,
SH_2,gioco_25,gioco_25,5,4,6,2,
SH_2,gioco_26,gioco_26,7,3,6,5,
SH_2,gioco_27,gioco_27,7,6,8,4,
SH_2,gioco_28,gioco_28,9,5,8,7,
SH_2,gioco_29,gioco_29,6,2,5,4,
SH_2,gioco_30,gioco_30,7,3,6,5,
SH_2,gioco_31,gioco_31,7,6,8,4,
SH_2,gioco_32,gioco_32,8,7,9,5,
DSO_2,gioco_33,gioco_41,3,5,3,4,
DSO_2,gioco_34,gioco_42,6,4,5,4,
DSO_2,gioco_35,gioco_43,6,5,7,5,
DSO_2,gioco_36,gioco_44,6,7,6,8,
DSO_2,gioco_37,gioco_45,3,4,3,5,
DSO_2,gioco_38,gioco_46,5,4,6,4,
DSO_2,gioco_39,gioco_47,5,7,5,6,
DSO_2,gioco_40,gioco_48,8,6,7,6,
DSS_2,gioco_41,gioco_33,2,6,5,1,
DSS_2,gioco_42,gioco_34,2,6,7,3,
DSS_2,gioco_43,gioco_35,8,4,3,7,
DSS_2,gioco_44,gioco_36,8,4,5,9,
DSS_2,gioco_45,gioco_37,5,1,2,6,
DSS_2,gioco_46,gioco_38,7,3,2,6,
DSS_2,gioco_47,gioco_39,4,8,7,3,
DSS_2,gioco_48,gioco_40,4,8,9,5,
